,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,bhatkal,13.9667,74.5667,28.23,75,84,1.66,IN,1651364850
288,chicama,-7.8447,-79.1469,17.3,79,48,3.16,PE,1651364851
289,hervey bay,-25.2986,152.8535,23.34,87,48,2.68,AU,1651364852
290,hurricane,37.1753,-113.2899,30.19,11,98,1.66,US,1651364852
291,green river,41.5286,-109.4662,16.22,26,34,0.89,US,1651364707
292,sabang,5.8933,95.3214,28.84,75,100,4.06,ID,1651364853
293,muleba,-1.8397,31.6544,18.19,89,94,2.37,TZ,1651364854
294,bijie,27.3125,105.2942,7.07,91,100,4.23,CN,1651364854
295,labuhan,-6.8844,112.2051,27.34,85,100,4.6,ID,1651364855
296,noumea,-22.2763,166.4572,26.99,99,80,4.85,NC,1651364741
297,bandarbeyla,9.4942,50.8122,28.24,77,66,1.0,SO,1651364856
298,hondo,32.45,130.2,15.02,76,100,3.95,JP,1651364857
299,ambon,-3.6954,128.1814,28.32,74,54,1.08,ID,1651364857
300,lebedinyy,58.5167,125.5167,-0.59,52,12,5.44,RU,1651364858
301,cidreira,-30.1811,-50.2056,18.53,80,100,3.56,BR,1651364858
302,martigny,46.0833,7.0833,7.19,91,44,1.67,CH,1651364859
303,kaitangata,-46.2817,169.8464,14.88,71,100,1.23,NZ,1651364860
304,zalantun,48.0,122.7167,6.82,28,30,6.64,CN,1651364860
305,vuktyl,63.8567,57.3094,-4.17,98,98,1.11,RU,1651364861
306,de aar,-30.6497,24.0123,11.28,53,0,3.15,ZA,1651364816
307,mananjary,-21.2167,48.3333,21.06,85,26,2.36,MG,1651364862
308,gidam,18.9833,81.4,25.77,52,25,0.89,IN,1651364863
309,hope,33.6671,-93.5916,27.03,76,46,1.95,US,1651364658
310,nebolchi,59.1239,33.3454,-1.33,79,96,2.24,RU,1651364864
311,nyurba,63.2842,118.3319,1.96,72,77,4.34,RU,1651364864
312,shamary,57.3434,58.2199,1.25,72,100,1.73,RU,1651364865
313,cape coast,5.1053,-1.2466,27.13,82,59,3.27,GH,1651364629
314,mehran,33.1222,46.1646,25.31,30,61,3.02,IR,1651364866
315,povenets,62.8487,34.8262,0.11,93,100,3.18,RU,1651364866
316,kalmunai,7.4167,81.8167,26.59,84,71,1.6,LK,1651364867
317,salym,60.0625,71.4789,-1.24,71,8,1.65,RU,1651364867
318,upington,-28.4478,21.2561,8.21,76,0,0.0,ZA,1651364868
319,necochea,-38.5473,-58.7368,9.31,55,14,4.21,AR,1651364868
320,grindavik,63.8424,-22.4338,6.97,87,75,5.14,IS,1651364869
321,lewistown,40.5992,-77.5714,14.67,35,0,0.0,US,1651364869
322,evensk,61.95,159.2333,3.08,55,10,3.09,RU,1651364870
323,leningradskiy,69.3833,178.4167,-9.44,83,58,1.88,RU,1651364871
324,assare,-6.8744,-39.875,21.52,60,91,1.85,BR,1651364871
325,bayan,46.0833,127.4,3.23,96,100,2.24,CN,1651364872
326,gladstone,-23.85,151.25,27.1,61,75,5.66,AU,1651364873
327,igrim,63.1906,64.4162,-0.67,85,78,4.3,RU,1651364873
328,ulaanbaatar,47.9077,106.8832,5.07,42,0,0.0,MN,1651364782
329,nouakchott,18.0858,-15.9785,21.96,70,7,6.77,MR,1651364875
330,lichinga,-13.3128,35.2406,15.05,94,20,4.12,MZ,1651364875
331,maraa,-1.8333,-65.3667,22.38,95,76,0.24,BR,1651364876
332,sangar,63.9242,127.4739,-0.05,82,89,6.7,RU,1651364877
333,ashland,40.8167,-82.2665,19.3,72,100,3.9,US,1651364776
334,kungurtug,50.5994,97.5228,7.3,49,68,0.94,RU,1651364877
335,cherskiy,68.75,161.3,-5.19,79,92,4.45,RU,1651364878
336,verkh-tula,54.8839,82.7762,6.88,70,0,5.0,RU,1651364879
337,guines,50.8671,1.8703,5.5,83,90,0.41,FR,1651364880
338,maneadero,31.7167,-116.5667,18.94,75,37,1.34,MX,1651364880
339,luderitz,-26.6481,15.1594,16.34,45,1,4.85,NA,1651364881
340,gat,31.61,34.7642,18.78,100,33,4.53,IL,1651364882
341,emerald,-23.5333,148.1667,24.08,64,46,4.63,AU,1651364703
342,havelock,34.8791,-76.9013,20.99,82,75,1.54,US,1651364882
343,maceio,-9.6658,-35.7353,23.69,88,20,0.51,BR,1651364883
344,kieta,-6.2167,155.6333,29.85,65,100,1.46,PG,1651364883
345,broome,42.2506,-75.833,11.21,27,0,3.09,US,1651364884
346,pisco,-13.7,-76.2167,18.34,82,0,8.23,PE,1651364885
347,fairbanks,64.8378,-147.7164,12.77,31,0,8.23,US,1651364885
348,lasa,46.6166,10.7002,8.49,97,99,1.25,IT,1651364886
349,isangel,-19.55,169.2667,29.06,84,75,1.03,VU,1651364886
350,gilbues,-9.8317,-45.3439,26.26,51,100,1.28,BR,1651364887
351,robe,-37.1833,139.75,16.36,85,73,7.04,AU,1651364888
352,preobrazheniye,42.9019,133.9064,4.79,89,100,1.85,RU,1651364888
353,sabha,27.0377,14.4283,26.48,16,49,9.14,LY,1651364889
354,panaba,21.2833,-88.2667,28.48,58,75,4.32,MX,1651364889
355,angoche,-16.2325,39.9086,22.04,89,15,3.25,MZ,1651364890
356,mayor pablo lagerenza,-19.9309,-60.7718,23.6,61,3,2.33,PY,1651364891
357,cairns,-16.9167,145.7667,26.73,83,75,5.66,AU,1651364708
358,severo-yeniseyskiy,60.3725,93.0408,-3.06,88,95,3.32,RU,1651364891
359,ormara,25.2088,64.6357,28.91,80,17,8.45,PK,1651364892
360,avera,33.194,-82.5271,23.03,57,17,3.45,US,1651364893
361,ostersund,63.1792,14.6357,1.25,80,100,4.12,SE,1651364893
362,galesong,-5.3166,119.3661,25.01,78,75,2.01,ID,1651364894
363,magadan,59.5667,150.8,2.64,66,10,0.82,RU,1651364814
364,codrington,-38.2667,141.9667,17.09,70,91,6.46,AU,1651364895
365,axim,4.8699,-2.2405,26.62,85,88,3.1,GH,1651364896
366,vanimo,-2.6741,141.3028,28.97,68,100,0.71,PG,1651364896
367,dalmatovo,56.26,62.9362,2.57,60,94,3.28,RU,1651364897
